identity_time_interval,bill_billing_period_end_date,bill_billing_period_start_date,identity_line_item_id,line_item_blended_cost,line_item_unblended_cost,line_item_operation,line_item_product_code,line_item_resource_id,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,resource_tags,line_item_usage_start_date_comparison
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,pqeelk5ipe2et2c6b3nldfrwgividkyq7fkea432c6udcz5lf46a,3e-06,3e-06,GetKeyRotationStatus,awskms,arn:aws:kms:us-east-1:076395046979:key/0db694c3-b407-4306-a446-6cf96e154c59,1.0,2024-05-20T04:00:00.000Z,2024-05-20T03:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,4addm4cuyu6trwx5mbw5wjtvwd5jhjuoxtme7hbndra222s3ikba,0.014784946,0.014784946,CurrentKeys,awskms,arn:aws:kms:us-east-1:076395046979:key/4da2329b-ec62-4d85-9778-de62710438ed,0.014784946,2024-05-20T11:00:00.000Z,2024-05-20T00:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,ofh6sv7sd73yglolagvk2346eetcclbsdd6fnymkxw3euvjqnq2a,3.6e-06,3.6e-06,HeadBucket,AmazonS3,t51bfraveiceberg,9.0,2024-05-20T09:00:00.000Z,2024-05-20T05:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBZTH6UAAJX:bflanaghan""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,5osq4crf6z6vx3ky5rnvla4mfg3oxcqfem5biptq6nlgql2yzidq,2.2e-09,2.2e-09,ReadVersioningProps,AmazonS3,kardashian-bucket,2.104e-07,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:aansari@sdaws.imedidata.com""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,ceijqzahtl6fmutynck3ubxonzsms7a24hhbc3e4hsbkbbq3p7ja,2.8e-06,2.8e-06,GetObject,AmazonS3,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,7.0,2024-05-20T08:00:00.000Z,2024-05-20T06:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:ubeig@sdaws.imedidata.com""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,dyjg2nr3liz2qp3m7rir54gse3uxhtn2cxi5tdq4spfwt3vvrroa,0.0001004,0.0001004,Send,AWSQueueService,arn:aws:sqs:us-east-1:076395046979:testing_DVT,251.0,2024-05-20T10:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,imjxdcxuzofcpeupbxdomlnmchncxbfrx3prsnzta3ro7wgykzua,3e-09,3e-09,ReadLocation,AmazonS3,medsingestorziptest,3.018e-07,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBWNLTRZ5F4:abodhale""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,bcqmf35beauxqfmryhc2wgqlzhkta2jv7365xtasxjooxjpef6qq,5.9e-09,5.9e-09,ReadCostAllocation,AmazonS3,config-bucket-076395046979,5.812e-07,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBTB2MHRTUR:mshaik""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,wkuqbaitad3ta3ulgwkqpaahrp3mvap2ndmf5p6eimyhsd65tnlq,6e-06,6e-06,DescribeKey,awskms,arn:aws:kms:us-east-1:076395046979:key/fbc572d3-553f-4fa6-949a-1d3121931d5e,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,vr4lyxnq5shvqhulpyanivett5krqp3g7sgirqttrmuj4sfmyava,8e-07,8e-07,ReadBucketReplication,AmazonS3,coder-blue,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:hpoon@sdaws.imedidata.com""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,brldrnx45teflmzwkrlq66sf2hwkt726v6bnwtm4sr65idipndpq,0.00025,0.00025,ListBucket,AmazonS3,team-51-ab-msk-connect-sink,50.0,2024-05-20T04:00:00.000Z,2024-05-20T02:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBRMA7G6T4M:amsoni"",""user_name"":""team-51-ab-msk-connect-sink""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,37n7kqtuy5robhxasupl7noh2wumbhvez6igd5mc3rkhfbfztmzq,5.4e-09,5.4e-09,ReadLogProps,AmazonS3,medsingestorziptest,5.384e-07,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBWNLTRZ5F4:abodhale""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,dx2emm7y75ewifqaurvorcnwo7o5trprra6ciakpu3soscegvhqa,9e-06,9e-06,DescribeKey,awskms,arn:aws:kms:us-east-2:076395046979:key/24778098-5be4-40a7-89d5-2b9fd1d4e735,3.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,jcreqowtrqy7hova6lytpm7isevvcl3idmp4c5rtuktvygefrcpq,0.06258,0.06258,,AWSCloudTrail,,3129.0,2024-05-20T10:00:00.000Z,2024-05-20T00:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,4twmyaw6qheh3hynev4dxxm6ipe3rwal2guzw4ummxrscupzgkda,0.0,0.0,ListSubscriptions,AmazonSNS,,4.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,vv52bhm5mjgh53sd6uipqvjtnikze3rfe3y24hcsuh3xkbciorrq,1e-05,1e-05,CopyObject,AmazonS3,costs-bucket-daily,2.0,2024-05-20T09:00:00.000Z,2024-05-20T00:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBTB2MHRTUR:mshaik""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,yex7htjf5ynx5ygj2dnhn64o4ihj6pljbkbm4u4dwhggraa5dnva,1.02e-08,1.02e-08,ReadACL,AmazonS3,config-bucket-076395046979,1.0244e-06,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBTB2MHRTUR:mshaik""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,74zslpiel6h72rfpe7ngc2e67ra266nw3eluvsyu3ehit6cj3cmq,2.4e-06,2.4e-06,GetQueueAttributes,AWSQueueService,arn:aws:sqs:us-east-1:076395046979:cd627433-fe06-4fc8-8680-98852d823077_sandbox,6.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,hpogbnkq7aqwma77wds2f6sfycobh233vo34i4crcrbdnx5qihpq,0.1042096,0.1042096,none,AmazonGuardDuty,,23684.0,2024-05-20T10:00:00.000Z,2024-05-20T00:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,yufrgflk6l7u23dohsgwxvnu7jned36llverciu3xfw27rnaqz7q,1.6e-06,1.6e-06,ReadBucketServerSideEncryption,AmazonS3,map-276-exec-src,4.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BB3GSL2BJRT:padesai""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,h2sc5ug3hnldhmuvanovfbympilicj5bcxf5kmzvrzr2n7plvmya,1.6e-09,2e-09,HourlyStorageMetering,AmazonCloudWatch,arn:aws:logs:us-west-1:076395046979:log-group:/aws/lambda/beam-workshop-BeamConsumerBuildPipelineDownloadLam-125KQNN8RFT91,6.14e-08,2024-05-20T10:00:00.000Z,2024-05-20T09:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,bczg4krkugibceg5hryis4ldel7pn2z4clkhco5cw3mywtf5ireq,0.0,0.0,Unknown,AmazonSWF,,3.4747e-06,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,3it6fb2hsksuiyma4aa2cfvpzbseajq2kiw53xrwawmfse4fvpka,1.02e-08,1.02e-08,ReadACL,AmazonS3,msms3,1.0244e-06,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BB6ACEVXFXM:mmaradkar""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,ms6bdw6dfte4vyg4y7jqp4mspqbtqrbf3ozce7iiqyqjcxhtinuq,5.9e-09,5.9e-09,HourlyStorageMetering,AmazonCloudWatch,arn:aws:logs:us-east-2:076395046979:log-group:/aws/lambda/study_management_milestone_lambdas-sandbox,1.98e-07,2024-05-20T07:00:00.000Z,2024-05-20T06:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,hityzo2awfgh6uy42tm7w6prysqft4ctyvwhdpkbyq7iqpq2utaa,3e-09,3e-09,Unknown,AmazonSWF,,3.36e-08,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,tqpcqzqr72qreb7p5w7aoyopalavko5zuxvppuixwakn7nnfuvpq,4e-09,4e-09,ReadLocation,AmazonS3,medsingestorziptest,2.012e-07,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBWNLTRZ5F4:abodhale""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,p4mriiu3n4hryp4cuppegjcyxtcghfngvencuz35lgbhcv4mabba,4e-09,4e-09,ReadLocation,AmazonS3,team-51-ab-msk-connect-sink,2.012e-07,2024-05-20T07:00:00.000Z,2024-05-20T06:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBRMA7G6T4M:amsoni"",""user_name"":""team-51-ab-msk-connect-sink""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,gonrh4wpxz73l4c2mq5c3kiqffofyhllcx6ie7v4lfvkew7xqkya,2.6e-09,2.6e-09,ReadLocation,AmazonS3,doc-example-bucket-958f97ec-0025-428c-9d7c-eb07e6165eea,1.276e-07,2024-05-20T09:00:00.000Z,2024-05-20T08:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BB6XUYRRRE2:sdevare""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,whwukxmpw24djk7rps555htdwugftregxu5bjzcd3nn7rgw2yrcq,3e-06,3e-06,GetKeyRotationStatus,awskms,arn:aws:kms:us-west-2:076395046979:key/349cdca6-0009-4e75-86e2-7e59d8ed49a5,1.0,2024-05-20T04:00:00.000Z,2024-05-20T03:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,6kda6rpjpxp7wecvqhtdahnhecyx2f7wpn66udg6r5nwiwk4oexq,4e-09,4e-09,ReadLocation,AmazonS3,twinonco-bucket-mbd12,2.012e-07,2024-05-20T07:00:00.000Z,2024-05-20T06:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBX2JYLH7K6:mambikaprasad""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,j4zj4vn2p4wzywc73s5dagdp5zhrmtfy4tfj4bxmcloybzwvr5xa,9.6e-09,9.6e-09,ReadLocation,AmazonS3,hp-maudit-test,4.815e-07,2024-05-20T03:00:00.000Z,2024-05-20T00:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:hpoon@sdaws.imedidata.com""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,mgxa5hif4ddpesxtxxi5wzhydmqen3om2m7n55jc7mijmuosn5ua,6e-06,6e-06,DescribeKey,awskms,arn:aws:kms:eu-central-1:076395046979:key/6800a112-a7de-4531-a885-7d54851381d3,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,3nrfd6nopspsmmizet6jor4jogt7h6jbu4vjvkf2y6tagl5su74q,3e-06,3e-06,GetKeyRotationStatus,awskms,arn:aws:kms:us-east-1:076395046979:key/4da2329b-ec62-4d85-9778-de62710438ed,1.0,2024-05-20T04:00:00.000Z,2024-05-20T03:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,me4iquh2nt5bb6zqxohkh76oftctykvwyozj7avgdnnv2cdqgfya,0.00102,0.00102,,AWSCloudTrail,,51.0,2024-05-20T08:00:00.000Z,2024-05-20T02:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,6wjm7lhfx2eo4xww5plh3bi5jwlgfvqyjpitqyppku7rs7wiyk4a,0.018,0.018,,AWSConfig,,6.0,2024-05-20T09:00:00.000Z,2024-05-20T06:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,6sojb34oohygv6syrfbbcbhzkjtjpxq6ph234qjl6sgrakgkw37a,8e-07,8e-07,ReadBucketReplication,AmazonS3,config-bucket-076395046979,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBTB2MHRTUR:mshaik""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,ulx2dhw26dejgpoc5peiz4ixmtvous2ltk5puzyrfhojryyi35jq,6e-06,6e-06,DescribeKey,awskms,arn:aws:kms:us-east-1:076395046979:key/f45f9fb1-a6d6-4ea1-a79b-0f3cc4542751,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""user_product"":""Conmannotifications"",""user_cost_center"":""Site Management"",""user_company"":""mdsol"",""user_environment"":""blue"",""user_owner"":""Prakash Kumar"",""user_tenant"":""blue"",""user_name"":""ctms-flow-key""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,76ljxxd22sug7nerv2i6kqul6qwu6d52zbdj5scl225h66bfmnxq,2.6e-09,2.6e-09,ReadBucketServerSideEncryption,AmazonS3,twinonco-bucket-mbd12,2.561e-07,2024-05-20T04:00:00.000Z,2024-05-20T03:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBX2JYLH7K6:mambikaprasad""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,jet7pxlcwkiu3gyivgqdh6qimdxotjyn554jnuyrlbk7rje64hoa,3e-06,3e-06,GetKeyRotationStatus,awskms,arn:aws:kms:eu-central-1:076395046979:key/bdbb982e-8b96-4b7d-bbf7-5ef42443a757,1.0,2024-05-20T04:00:00.000Z,2024-05-20T03:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,6jbpft3lylhcvolo4zke7a7ujyixyoedojblreuwxbhgjnj2p3ya,6e-06,6e-06,DescribeKey,awskms,arn:aws:kms:us-east-1:076395046979:key/011977b3-1fff-4cda-bb8e-236adc377b47,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,ubo2e2kl63ebcevgzz3g44fan3s42gvgzwqnt4ez4ejnhkzx22ma,0.1110072,0.1110072,none,AmazonGuardDuty,,24132.0,2024-05-20T10:00:00.000Z,2024-05-20T00:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,u6yzyjlkyhtb24tmchtwrclosptf2mi7z2nrpgjfcm3vahgz4laa,6e-06,6e-06,DescribeKey,awskms,arn:aws:kms:us-east-1:076395046979:key/d5ed6fd1-3995-46cf-af3e-aee9d38e50b4,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,zaat7xzfojbx3lv4zqxjjrspiqlhi4lbjhhtxuosyo6ppthxtbaq,7.8e-05,7.8e-05,DescribeOpsItems,AWSSystemsManager,arn:aws:ssm:eu-central-1:076395046979:opsitem/oi-xxxxxxxxxxxx,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,qflxsjotj2dp6ts4jc4nfmf5prkxn2uhksp4pwotko4ms5ofv3ia,0.0,0.0,,AWSCloudTrail,,17.0,2024-05-20T08:00:00.000Z,2024-05-20T02:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,aozwzo4omp4yu3pxaedtdpbwmctt4dg3ibvbqwyyo4u3xbnh347q,3e-06,3e-06,GetKeyRotationStatus,awskms,arn:aws:kms:us-west-1:076395046979:key/efe9663d-7fd0-4e1b-ba67-1a74436ab49f,1.0,2024-05-20T04:00:00.000Z,2024-05-20T03:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,4nszex5t42szdtiwceschoatk45xybf62xjygxonimtyyowyvywa,5.7e-09,5.7e-09,ReadCostAllocation,AmazonS3,loki-3,5.626e-07,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:sokato@sdaws.imedidata.com""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,dhlioaz4vhrb625e2hsytuxfaqyxknpqgvf4qmrhpixs5kxcmvsq,0.0002,0.0002,PRESTO_QUERY,AmazonAthena,arn:aws:athena:us-east-1:076395046979:workgroup/primary,4e-05,2024-05-20T04:00:00.000Z,2024-05-20T02:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,5z33uhjosdl5paym46tvpxawaqwfnydqhcgxpqcwgfdl3cktngsa,3.6e-06,3.6e-06,List,AWSQueueService,,9.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
