tags,configurationItemVersion,configurationItemCaptureTime,configurationItemCaptureDate,configurationStateId,awsAccountId,configurationItemStatus,resourceType,resourceId,awsRegion,identity_time_interval,bill_billing_period_end_date,bill_billing_period_start_date,identity_line_item_id,line_item_blended_cost,line_item_unblended_cost,line_item_operation,line_item_product_code,line_item_resource_id,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,resource_tags
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,rcxq3dhkxani5ovps56753y5lfnmylap5pwftwmdu4ldcfr6g5ma,3.2e-06,3.2e-06,ReadLocation,AmazonS3,map-276-tf-test-1,8.0,2024-05-20T09:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,vrpshzmhhiwxwhm226up3pc3zflqgovclltoktlmuw5tdsvsrnnq,4e-07,4e-07,ReadAccelerate,AmazonS3,map-276-tf-test-1,1.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,lyefwgsopd63toxp6oahd347o5smlvowhk6ulz5lxo73iqmxv6lq,8e-07,8e-07,ReadBucketPublicAccessBlock,AmazonS3,map-276-tf-test-1,2.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,zxdzbxmxrxqjihupravrxea3tnm6gfovhy5mfer2nbmtum6ud4va,5e-06,5e-06,ListBucketVersions,AmazonS3,map-276-tf-test-1,1.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,j4q2dy7wywmh42zminwe3haiuemsze7mdnphkmqocuwtyv7p6gia,2e-09,2e-09,ReadLocation,AmazonS3,map-276-tf-test-1,1.006e-07,2024-05-20T09:00:00.000Z,2024-05-20T08:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,avwdzf46mi6fxb4eu6vpdacfkpkhxju3b2b2my6wt4gyrzzsoyza,4e-07,4e-07,ReadRequestPaymentProps,AmazonS3,map-276-tf-test-1,1.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,zd6jnlqljiuwficxtjb5fhasxz3ozrutwp2xvfopfpas7pp23qiq,8e-07,8e-07,ReadBucketLifecycle,AmazonS3,map-276-tf-test-1,2.0,2024-05-20T09:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,hc6gu3a2fhldjbsrbwx4uztlndquw2hqotfnqfdjeh4uf7ksusxa,1.6e-06,1.6e-06,ReadACL,AmazonS3,map-276-tf-test-1,4.0,2024-05-20T09:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,byzp4mds6uafjt2abhotmtuk5hczm5tfe5a2fyowoh3o6u5bcpea,1e-05,1e-05,CreateBucket,AmazonS3,map-276-tf-test-1,2.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,brlhdh6pykw2g6rq2v2n75sasjuyvauaczhjod5eemfmdyftzufq,4e-09,4e-09,ReadLocation,AmazonS3,map-276-tf-test-1,2.012e-07,2024-05-20T09:00:00.000Z,2024-05-20T08:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,ldckhy54ba2a4jeoyp4g64nd5zqriyg4w4z775xfudwhwhnq4i2a,4e-07,4e-07,ReadBucketCors,AmazonS3,map-276-tf-test-1,1.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,pkyfcfybrajr6y4jkny5meqrxox5hecg6qvnvjl7p5yawlp2ta3q,1.6e-06,1.6e-06,ReadBucketPolicy,AmazonS3,map-276-tf-test-1,4.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,gowxmnswvzko6qnrqazil6pkm73msddjgxwicgsz3lgg7uocthja,1e-05,1e-05,WriteVersioningProps,AmazonS3,map-276-tf-test-1,2.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,rlftbbodudvazqiqyucrmqpasgnz2o6tjeo66m7tjnzx3z3nnxtq,8e-06,8e-06,HeadBucket,AmazonS3,map-276-tf-test-1,20.0,2024-05-20T10:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,7zl3t53qnk65jmtcm5ivxxqxewt4le6am2n5z4ms3d2zs4zneh7a,4e-07,4e-07,ReadCostAllocation,AmazonS3,map-276-tf-test-1,1.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,cfxwfyajqmlkfebknxnx7lweumjpap36tgssmgwqi6kddyjwni4q,4e-07,4e-07,ReadBucketReplication,AmazonS3,map-276-tf-test-1,1.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,2fca22ai6qfe2j5jupnzzr3ubwpjypa2ntctja5f2gzqtr6rk7zq,8.1e-09,7e-09,ReadLocation,AmazonS3,map-276-tf-test-1,1.006e-07,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,vokrqxzmi7jypfbscwizh2wrdmk7lrw6wsrjv25qqpz2sqp7wmtq,8e-07,8e-07,ReadLogProps,AmazonS3,map-276-tf-test-1,2.0,2024-05-20T09:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,i6nttf7fsk6afw5nfpufuowdxcqgcgwjbo2x6x2xrqjvqb4wwucq,8e-07,8e-07,ReadBucketPolicyStatus,AmazonS3,map-276-tf-test-1,2.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,lb7h7yd4ax7bxj53gy2uj4anpt5iztsrszydwokdmhmqtlypqtzq,4e-09,4e-09,ReadLocation,AmazonS3,map-276-tf-test-1,2.012e-07,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,gupmr2g4bubpgihh4ohzvbsgzerjtjcdtnx4zp6rsnm4ilqbal4a,4e-07,4e-07,ReadBucketObjectLockConfig,AmazonS3,map-276-tf-test-1,1.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,yjnsby3eo423b2pv6d4phlz32i2j5w35znfroprp433pu2uwtiia,4e-07,4e-07,ReadVersioningProps,AmazonS3,map-276-tf-test-1,1.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
{'STAGE': 'unis-sandbox'},1.3,2024-05-20T06:09:09.230Z,2024-05-20,1716185349230,076395046979,OK,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-unis-sandbox/04a77900-166f-11ef-9846-1291a795f9c7,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T03:41:50.003Z,2024-05-20,1716176510003,076395046979,OK,AWS::EC2::SecurityGroup,sg-0985e2b216561b8e5,us-east-1,,,,,,,,,,,,,
"{'LastAttachTime': '2024-05-19T23:24:35+00:00', 'LastAttachInstance': 'i-082700aad497a4786', 'Name': 'blue-grafana'}",1.3,2024-05-20T00:19:24.113Z,2024-05-20,1716164364113,076395046979,OK,AWS::EC2::Volume,vol-0d641dbdbffa67b9a,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,4kpwlnjvywfxokn56vuxi2jp7xjqrhkn4e7wm4x3fd6xyfeojxkq,0.0017204302,0.0017204302,CreateVolume-Gp3,AmazonEC2,vol-0d641dbdbffa67b9a,0.0215053764,2024-05-20T02:00:00.000Z,2024-05-20T00:00:00.000Z,"{""user_name"":""blue-grafana""}"
{'STAGE': 'unis-sandbox'},1.3,2024-05-20T06:06:31.757Z,2024-05-20,1716185191757,076395046979,ResourceDiscovered,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-unis-sandbox/04a77900-166f-11ef-9846-1291a795f9c7,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T21:10:21.455Z,2024-05-20,1716239421455,076395046979,ResourceDiscovered,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/StackSet-MemberAccountResourceTaggingIAMRole-26f308fb-f582-45fa-92d1-49f326eccaf8/50598900-16ed-11ef-b2a0-0e795d0e8797,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T14:03:58.125Z,2024-05-20,1716213838125,076395046979,ResourceDiscovered,AWS::Config::ResourceCompliance,AWS::EC2::SecurityGroup/sg-093ce1b7d20e60c5b,us-east-1,,,,,,,,,,,,,
{'STAGE': 'unis-sandbox'},1.3,2024-05-20T06:09:50.967Z,2024-05-20,1716185390967,076395046979,ResourceDiscovered,AWS::DynamoDB::Table,EdgeCTMSCustomers-unis-sandbox,us-east-1,,,,,,,,,,,,,
"{'c7n_delete_untagged_resource': 'Missing Product and Environment tags: terminate@2024/05/21', 'Name': 'grafana'}",1.3,2024-05-20T14:03:28.066Z,2024-05-20,1716213808066,076395046979,ResourceDiscovered,AWS::EC2::Instance,i-0fb1f509f61179fff,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T14:03:28.453Z,2024-05-20,1716213808453,076395046979,ResourceDiscovered,AWS::EC2::NetworkInterface,eni-0ff9fa50c5f60ec44,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T14:03:27.768Z,2024-05-20,1716213807768,076395046979,ResourceDiscovered,AWS::EC2::SecurityGroup,sg-093ce1b7d20e60c5b,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T14:03:28.585Z,2024-05-20,1716213808585,076395046979,ResourceDiscovered,AWS::EC2::SecurityGroup,sg-093ce1b7d20e60c5b,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T08:41:53.306Z,2024-05-20,1716194513306,076395046979,ResourceDiscovered,AWS::EC2::SubnetRouteTableAssociation,rtbassoc-036a58ad99c71ceb8,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T17:48:56.138Z,2024-05-20,1716227336138,076395046979,ResourceDeleted,AWS::EC2::SubnetRouteTableAssociation,rtbassoc-06214df3cc3dc48e3,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T17:48:55.905Z,2024-05-20,1716227335905,076395046979,ResourceDeleted,AWS::EC2::SubnetRouteTableAssociation,rtbassoc-094234eaf09cfd42b,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T14:03:28.380Z,2024-05-20,1716213808380,076395046979,ResourceDiscovered,AWS::EC2::Volume,vol-0eb2de481997187b8,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T06:09:00.248Z,2024-05-20,1716185340248,076395046979,ResourceDiscovered,AWS::KMS::Alias,alias/edgectmsapigateway_unis-sandbox,us-east-1,,,,,,,,,,,,,
{'STAGE': 'unis-sandbox'},1.3,2024-05-20T06:09:00.344Z,2024-05-20,1716185340344,076395046979,ResourceDiscovered,AWS::KMS::Key,f272f02f-2008-4756-9875-1e29e86c9920,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T07:14:25.962Z,2024-05-20,1716189265962,076395046979,ResourceDiscovered,AWS::Lambda::Function,map-276-exec-tf,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T14:12:07.902Z,2024-05-20,1716214327902,076395046979,ResourceDiscovered,AWS::Lambda::Function,aws-costs-gov,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-envprep-unis-sandbox', 'aws:cloudformation:logical-id': 'ServerlessDeploymentBucket', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-unis-sandbox/04a77900-166f-11ef-9846-1291a795f9c7', 'STAGE': 'unis-sandbox'}",1.3,2024-05-20T06:06:52.183Z,2024-05-20,1716185212183,076395046979,ResourceDiscovered,AWS::S3::Bucket,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,be4w56pqql2rvr5xxk2fuklacwast3ifmnrk5t4mm6h6emepvgha,4e-09,4e-09,ReadLocation,AmazonS3,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,2.012e-07,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:ubeig@sdaws.imedidata.com""}"
"{'aws:cloudformation:stack-name': 'edgectms-gateway-envprep-unis-sandbox', 'aws:cloudformation:logical-id': 'ServerlessDeploymentBucket', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-unis-sandbox/04a77900-166f-11ef-9846-1291a795f9c7', 'STAGE': 'unis-sandbox'}",1.3,2024-05-20T06:06:52.183Z,2024-05-20,1716185212183,076395046979,ResourceDiscovered,AWS::S3::Bucket,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,6ces32fj35h4tvmofx34e73w4r6dfin253v4igi6evehhygy7atq,5e-06,5e-06,WriteCostAllocation,AmazonS3,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,1.0,2024-05-20T07:00:00.000Z,2024-05-20T06:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:ubeig@sdaws.imedidata.com""}"
"{'aws:cloudformation:stack-name': 'edgectms-gateway-envprep-unis-sandbox', 'aws:cloudformation:logical-id': 'ServerlessDeploymentBucket', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-unis-sandbox/04a77900-166f-11ef-9846-1291a795f9c7', 'STAGE': 'unis-sandbox'}",1.3,2024-05-20T06:06:52.183Z,2024-05-20,1716185212183,076395046979,ResourceDiscovered,AWS::S3::Bucket,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,ceijqzahtl6fmutynck3ubxonzsms7a24hhbc3e4hsbkbbq3p7ja,2.8e-06,2.8e-06,GetObject,AmazonS3,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,7.0,2024-05-20T08:00:00.000Z,2024-05-20T06:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:ubeig@sdaws.imedidata.com""}"
"{'aws:cloudformation:stack-name': 'edgectms-gateway-envprep-unis-sandbox', 'aws:cloudformation:logical-id': 'ServerlessDeploymentBucket', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-unis-sandbox/04a77900-166f-11ef-9846-1291a795f9c7', 'STAGE': 'unis-sandbox'}",1.3,2024-05-20T06:06:52.183Z,2024-05-20,1716185212183,076395046979,ResourceDiscovered,AWS::S3::Bucket,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,6wulowqsekgxrxt7e6upxfxeuln4yjawg4xcvku3h3kbc42hesva,8e-07,8e-07,ReadBucketReplication,AmazonS3,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,2.0,2024-05-20T08:00:00.000Z,2024-05-20T06:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:ubeig@sdaws.imedidata.com""}"
